Rk,Player,Squad_DOM,Club_DOM,Rating_10,MP_DOM,Saves_DOM,SoTA_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Comparative_Story
53,Ahmed Basil,Iraq,1.iq Al-Shorta,5.2,25,3,7,42.9,0,2.67,"**World Cup**: 3 MP, 7 SoTA, 3 Saves, 42.9% Save%, 0 CS | **Domestic (Al-Shorta)**: 25 MP, 3 Saves, 42.9% Save%, 0 CS"
54,Kristoffer Nordfeldt,Sweden,1.se AIK Stockholm,5.2,25,3,9,33.3,0,3.0,"**World Cup**: 3 MP, 9 SoTA, 3 Saves, 33.3% Save%, 0 CS | **Domestic (AIK Stockholm)**: 25 MP, 3 Saves, 33.3% Save%, 0 CS"
55,Senne Lammens,Belgium,Manchester Utd,5.2,25,78,118,66.9,8,1.22,"**World Cup**: 3 MP, 3 SoTA, 2 Saves, 66.7% Save%, 0 CS | **Domestic (Manchester Utd)**: 25 MP, 78 Saves, 66.9% Save%, 8 CS"
56,Utkir Yusupov,Uzbekistan,1.uz Navbahor,5.2,25,1,4,25.0,0,3.0,"**World Cup**: 3 MP, 4 SoTA, 1 Saves, 25.0% Save%, 0 CS | **Domestic (Navbahor)**: 25 MP, 1 Saves, 25.0% Save%, 0 CS"
57,Mouhib Chamakh,Tunisia,1.tn Club Africain,5.2,25,1,6,16.7,0,5.0,"**World Cup**: 3 MP, 6 SoTA, 1 Saves, 16.7% Save%, 0 CS | **Domestic (Club Africain)**: 25 MP, 1 Saves, 16.7% Save%, 0 CS"
58,Guillermo Ochoa,Mexico,1.cy AEL Limassol,5.2,22,0,0,65.0,1,0.0,"**World Cup**: 1 MP, 0 SoTA, 0 Saves, 50.0% Save%, 1 CS | **Domestic (AEL Limassol)**: 22 MP, 0 Saves, 65.0% Save%, 1 CS"
59,Mathew Ryan,Australia,Levante,5.2,25,124,180,68.9,9,1.56,"**World Cup**: 4 MP, 0 SoTA, 0 Saves, 50.0% Save%, 0 CS | **Domestic (Levante)**: 25 MP, 124 Saves, 68.9% Save%, 9 CS"
60,Sergio Rochet,Uruguay,1.br Internacional,5.2,25,0,0,65.0,0,0.0,"**World Cup**: 3 MP, 0 SoTA, 0 Saves, 50.0% Save%, 0 CS | **Domestic (Internacional)**: 25 MP, 0 Saves, 65.0% Save%, 0 CS"
61,Matt Turner,United States,NE Revolution,5.2,18,62,80,77.5,4,1.2,"**World Cup**: 5 MP, 3 SoTA, 0 Saves, 0.0% Save%, 0 CS | **Domestic (NE Revolution)**: 18 MP, 62 Saves, 77.5% Save%, 4 CS"
62,Oussama Benbot,Algeria,1.dz USM Alger,5.2,25,0,3,0.0,0,3.0,"**World Cup**: 3 MP, 3 SoTA, 0 Saves, 0.0% Save%, 0 CS | **Domestic (USM Alger)**: 25 MP, 0 Saves, 0.0% Save%, 0 CS"
